Station_Code,Station_Name,Train_Frequency
CSMT,CST-MUMBAI,1027
KYN,KALYAN JN,828
TNA,THANE,796
SDAH,SEALDAH,745
MSB,CHENNAI BEAC,738
HWH,HOWRAH JN.,699
DR,DADAR,567
DDJ,DUM DUM JN.,463
CLA,KURLA,462
TBM,TAMBARAM,434
