Metric,Value
Total Trains,11113.0
Average Distance (km),348.87024205885
Maximum Distance (km),4260.0
Minimum Distance (km),1.0
Average Journey Duration (hours),4.600224961756502
Maximum Journey Duration (hours),23.916666666666668
Minimum Journey Duration (hours),0.0
