Station_Name,Train_Count
CST-MUMBAI,1027
KALYAN JN,828
THANE,796
SEALDAH,745
CHENNAI BEAC,738
HOWRAH JN.,699
DADAR,598
DUM DUM JN.,463
KURLA,462
TAMBARAM,434
VIJAYWADA JN,416
GHAT KOPAR,406
BIDHANNAGAR,404
PANVEL,400
MUMBAI (MATU,393
