Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
4831,882,Long,1900-01-01 13:30:00,1900-01-01 10:45:00,21.25
4832,881,Long,1900-01-01 16:45:00,1900-01-01 11:45:00,19.0
4851,197,Short,1900-01-01 06:50:00,1900-01-01 11:30:00,4.666666666666667
4852,197,Short,1900-01-01 16:55:00,1900-01-01 22:00:00,5.083333333333333
4853,42,Short,1900-01-01 11:55:00,1900-01-01 13:10:00,1.25
4854,42,Short,1900-01-01 15:45:00,1900-01-01 16:45:00,1.0
4921,81,Short,1900-01-01 04:45:00,1900-01-01 06:30:00,1.75
4922,81,Short,1900-01-01 20:45:00,1900-01-01 22:40:00,1.9166666666666667
4991,99,Short,1900-01-01 14:40:00,1900-01-01 17:10:00,2.5
4992,99,Short,1900-01-01 09:50:00,1900-01-01 12:10:00,2.3333333333333335
5061,112,Short,1900-01-01 06:45:00,1900-01-01 09:50:00,3.0833333333333335
5062,112,Short,1900-01-01 17:20:00,1900-01-01 20:05:00,2.75
5065,503,Long,1900-01-01 19:30:00,1900-01-01 08:15:00,12.75
5066,505,Long,1900-01-01 20:25:00,1900-01-01 08:25:00,12.0
5105,64,Short,1900-01-01 11:45:00,1900-01-01 13:35:00,1.8333333333333333
5106,64,Short,1900-01-01 14:10:00,1900-01-01 15:40:00,1.5
5305,136,Short,1900-01-01 14:55:00,1900-01-01 18:25:00,3.5
5306,136,Short,1900-01-01 11:35:00,1900-01-01 14:30:00,2.9166666666666665
5309,81,Short,1900-01-01 20:55:00,1900-01-01 22:45:00,1.8333333333333333
5310,81,Short,1900-01-01 17:30:00,1900-01-01 19:25:00,1.9166666666666667
5521,81,Short,1900-01-01 20:40:00,1900-01-01 00:25:00,3.75
5522,81,Short,1900-01-01 05:10:00,1900-01-01 08:00:00,2.8333333333333335
5613,85,Short,1900-01-01 06:00:00,1900-01-01 08:05:00,2.0833333333333335
5614,85,Short,1900-01-01 19:10:00,1900-01-01 21:25:00,2.25
5619,153,Short,1900-01-01 13:20:00,1900-01-01 17:30:00,4.166666666666667
5620,153,Short,1900-01-01 08:45:00,1900-01-01 12:50:00,4.083333333333333
5631,380,Medium,1900-01-01 17:30:00,1900-01-01 05:55:00,12.416666666666666
5632,379,Medium,1900-01-01 19:20:00,1900-01-01 07:45:00,12.416666666666666
5715,87,Short,1900-01-01 03:00:00,1900-01-01 05:10:00,2.1666666666666665
5716,87,Short,1900-01-01 04:00:00,1900-01-01 06:30:00,2.5
5719,204,Medium,1900-01-01 23:15:00,1900-01-01 03:15:00,4.0
5720,205,Medium,1900-01-01 18:00:00,1900-01-01 23:00:00,5.0
5863,89,Short,1900-01-01 18:20:00,1900-01-01 21:25:00,3.0833333333333335
5864,88,Short,1900-01-01 05:00:00,1900-01-01 07:45:00,2.75
5865,426,Medium,1900-01-01 08:15:00,1900-01-01 20:20:00,12.083333333333334
5866,425,Medium,1900-01-01 06:00:00,1900-01-01 17:45:00,11.75
6001,649,Long,1900-01-01 21:50:00,1900-01-01 10:30:00,12.666666666666666
6002,649,Long,1900-01-01 15:00:00,1900-01-01 03:30:00,12.5
